<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NST,20090131.0,2.255,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090132.0,3.3825,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090133.0,3.94625,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090134.0,4.228125,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090135.0,4.3690625,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090136.0,4.43953125,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090137.0,4.474765625,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090138.0,4.4923828125,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090139.0,4.50119140625,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090140.0,4.50559570312,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090141.0,4.50779785156,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090142.0,4.50889892578,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090143.0,4.50944946289,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090144.0,4.50972473145,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090145.0,4.50986236572,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090146.0,4.50993118286,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090147.0,4.50996559143,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090148.0,4.50998279572,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090149.0,4.50999139786,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090150.0,4.50999569893,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090151.0,4.50999784946,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090152.0,4.50999892473,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090153.0,4.50999946237,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090154.0,4.50999973118,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090155.0,4.50999986559,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090156.0,4.5099999328,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090157.0,4.5099999664,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090158.0,4.5099999832,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090159.0,4.5099999916,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090160.0,4.5099999958,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20090161.0,4.5099999979,2.255,2.255,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
